id,name,category_id,price,description
00be9d3b-cf5b-41f5-9257-5b669fe4021a,Smart Plug,5,19.99,Remotely control appliances and devices with a smart plug
01cdd65a-387a-440d-8076-187240ccdd5f,Smart Watch,1,249.99,Fitness tracker and smartwatch for active lifestyles
04b6e9c2-7e2a-4437-a0a4-43418b4aa911,Blouse,2,24.99,Stylish blouse for a sophisticated look
052be4df-493a-4599-9e0e-1d6d17dde0af,Smart Garden,5,79.99,Grow herbs and vegetables indoors with this automated smart garden
08905ee0-0bca-459c-96aa-b441396b8c05,Portable Blender,4,39.99,Blend smoothies and shakes on the go with this portable and rechargeable blender
0995cee7-3286-4c5d-936d-38cd25e46c69,Smart Umbrella,5,34.99,Umbrella that alerts you of impending rain and reminds you not to forget it
0b4538a4-66e6-44f1-8dec-32479d7a4e1a,Wireless Earbuds,1,99.99,Convenient wireless earbuds for on-the-go listening
0ed20d4d-6a10-49fa-a5ce-652ae1874234,Smart Mirror,5,199.99,Interactive mirror with built-in display for personalized information
11e33645-62aa-4b36-9dde-5e691a7c3c6e,Wi-Fi Range Extender,5,49.99,Extend the range of your wireless network for better coverage
1504532c-a027-4240-ae13-6e950b0a0db2,Smart Lock,5,149.99,Securely control access to your home with a smart lock system
167c4a65-9070-4ca4-8cde-704d6f7d94e5,Smart Speaker,1,149.99,Voice-controlled smart speaker for hands-free convenience
167ec69a-1601-470e-911d-d0a2847ed854,Desk Organizer,4,24.99,Keep your workspace tidy with this convenient organizer
189a0bc2-eb46-490b-8be7-8fa56b5a8454,Throw Blanket,4,19.99,Warm and cozy throw blanket for chilly nights
1ae9c573-bec0-43fc-8582-87a48e3b0423,Self-Help Book,3,14.99,Guide to personal growth and development
1cca1932-b09e-449a-9627-4beb7a420616,Bluetooth Speaker,1,79.99,Portable Bluetooth speaker for music lovers
1e1c56f6-4e8a-4b69-9e80-98a6401562d2,Tablet Stand,1,19.99,Convenient stand to hold your tablet in place
1e444222-dc24-4aee-886c-960dbe5406f9,Bluetooth Car Adapter,1,19.99,Upgrade your car stereo system with Bluetooth connectivity
1eafc798-cd5a-4591-8468-af6eb17ad2cc,Skirt,2,29.99,Fashionable skirt for any occasion
23f76dac-f984-4532-82f6-8c105af71ef9,Desk Chair,4,79.99,Ergonomic desk chair for comfortable seating during long hours of work
26bc3254-1a41-4144-8288-a15f9bda60b4,Running Shoes,2,79.99,Performance running shoes for athletes
2875f464-af90-4a8a-8e5b-a46d3244518a,Hoodie,2,39.99,Casual hoodie for a laid-back style
2a61c9b7-38d1-4796-9ec1-c61f7f677c75,Barbecue Grill,4,299.99,Host outdoor gatherings and cook delicious meals with this barbecue grill
2b1f76e8-dcd5-4608-8adf-86a5f37aa2b3,Bluetooth Beanie,2,29.99,Stay warm and listen to music wirelessly with this Bluetooth-enabled beanie
2deb1157-04e0-47cb-8011-3bc67cc84304,Printer,1,149.99,Versatile printer for home or office use
35dd8932-9e64-480f-aab3-66051a2a53b0,Smart Doorbell,5,199.99,See and speak to visitors at your door from anywhere with a smart doorbell
