id,product_name,category_id,unit_price,images,description
5b594817-1a59-4467-8e9c-ff172e06c5e6,Smartphone,1,699.99,"{""https://example.com/smartphone1.jpg"", ""https://example.com/smartphone2.jpg""}","High-performance smartphone with advanced features"
6f7bb2d1-1b79-4b4b-8294-9499ff6700e5,Laptop,1,1299.99,"{""https://example.com/laptop1.jpg"", ""https://example.com/laptop2.jpg""}","Powerful laptop for work and entertainment"
96d8b91e-0c63-4c4b-8692-dbb1e58b9d97,T-shirt,2,19.99,"{""https://example.com/tshirt1.jpg"", ""https://example.com/tshirt2.jpg""}","Comfortable cotton t-shirt in various colors"
ab606f4d-e297-464e-88b2-107f5d6a16df,Jeans,2,39.99,"{""https://example.com/jeans1.jpg"", ""https://example.com/jeans2.jpg""}","Classic denim jeans for casual wear"
d193f490-d005-4895-b08a-1fc996418750,Novel,3,12.99,"{""https://example.com/novel1.jpg"", ""https://example.com/novel2.jpg""}","Bestselling novel by a renowned author"
8e6e005a-5de9-4e39-8c9e-5f37819cb53f,Cookbook,3,24.99,"{""https://example.com/cookbook1.jpg"", ""https://example.com/cookbook2.jpg""}","Collection of delicious recipes for home cooking"
15068912-11e0-4858-a9d7-79bfe25b6c67,Wall Clock,4,49.99,"{""https://example.com/clock1.jpg"", ""https://example.com/clock2.jpg""}","Stylish wall clock to decorate your home"
3db2b400-78e7-419f-bc76-d5730723ef16,Throw Pillow,4,14.99,"{""https://example.com/pillow1.jpg"", ""https://example.com/pillow2.jpg""}","Soft and cozy throw pillow for your couch"
451c22ec-6203-4e45-bd53-fd79577aa7a0,Wireless Earbuds,1,99.99,"{""https://example.com/earbuds1.jpg"", ""https://example.com/earbuds2.jpg""}","Convenient wireless earbuds for on-the-go listening"
f9ed59fc-e42d-4aeb-b8ac-168b6a2aeff4,Desk Lamp,4,34.99,"{""https://example.com/desklamp1.jpg"", ""https://example.com/desklamp2.jpg""}","Adjustable desk lamp for studying or working"
ebc098d5-46a4-4b84-9d48-1d8948a86ec4,Bluetooth Speaker,1,79.99,"{""https://example.com/speaker1.jpg"", ""https://example.com/speaker2.jpg""}","Portable Bluetooth speaker for music lovers"
c4490a52-d2ab-4980-b9bb-18d09c7dc505,Leather Jacket,2,149.99,"{""https://example.com/leatherjacket1.jpg"", ""https://example.com/leatherjacket2.jpg""}","Stylish leather jacket for a rugged look"
4a1a2333-c3bb-4d85-9922-4b447e5b84ea,Skirt,2,29.99,"{""https://example.com/skirt1.jpg"", ""https://example.com/skirt2.jpg""}","Fashionable skirt for any occasion"
36ad6f33-e101-4a59-86c7-dc2fd85be020,Self-Help Book,3,14.99,"{""https://example.com/selfhelpbook1.jpg"", ""https://example.com/selfhelpbook2.jpg""}","Guide to personal growth and development"
e69a6d24-fbc8-45e0-8f56-ecfa459e1db4,History Book,3,19.99,"{""https://example.com/historybook1.jpg"", ""https://example.com/historybook2.jpg""}","Explore the rich tapestry of human history"
2a3b2744-9883-40e6-a13c-43139d5a0051,Decorative Vase,4,29.99,"{""https://example.com/vase1.jpg"", ""https://example.com/vase2.jpg""}","Elegant vase to enhance your home decor"
e428b700-1677-4938-a3e2-6b90a2b2d441,Throw Blanket,4,19.99,"{""https://example.com/blanket1.jpg"", ""https://example.com/blanket2.jpg""}","Warm and cozy throw blanket for chilly nights"
